TimeRecording, PositionChange, TimeChange, IndexTriggered
0.8919525146484375, 34, 117.0, 0
0.9958837032318115, -70, 101.0, 0
1.0998456478118896, 215, 102.0, 0
1.2119672298431396, -2, 110.0, 0
1.50773024559021, -102, 289.0, 0
1.6119139194488525, 47, 101.0, 0
1.715773582458496, 2, 102.0, 0
1.8198754787445068, 4, 101.0, 0
1.9237761497497559, 9, 104.0, 0
2.02777361869812, -6, 99.0, 0
2.1317286491394043, 12, 102.0, 0
2.2517571449279785, -14, 121.0, 0
2.3753821849823, 10, 113.0, 0
2.483694076538086, -5, 110.0, 0
2.6358249187469482, -3, 149.0, 0
2.76370906829834, 2, 132.0, 0
2.8836920261383057, 7, 109.0, 0
3.011753797531128, -6, 125.0, 0
3.163745641708374, -2, 154.0, 0
3.347712516784668, 3, 178.0, 0
4.539782524108887, -1, 1162.0, 0
7.931713342666626, -3, 3318.0, 0
8.099704265594482, 3, 165.0, 0
8.403812170028687, -7, 290.0, 0
8.723626613616943, 3, 318.0, 0
8.987642288208008, 1, 255.0, 0
10.243810892105103, 1, 1225.0, 0
11.09960651397705, 1, 838.0, 0
12.419825792312622, -1, 1291.0, 0
13.515969038009644, 1, 1069.0, 0
14.491715908050537, -1, 955.0, 0
15.043624877929688, -3, 537.0, 0
15.299734115600586, 1, 246.0, 0
15.715776920318604, 1, 407.0, 0
16.187764167785645, 3, 466.0, 0
16.29973554611206, -13, 102.0, 0
16.403751134872437, 10, 102.0, 0
16.51579976081848, 6, 116.0, 0
16.627755880355835, -15, 103.0, 0
16.747742176055908, 7, 120.0, 0
16.907902479171753, -1, 153.0, 0
17.45964217185974, 3, 546.0, 0
17.69161033630371, -1, 221.0, 0
17.883846521377563, 3, 188.0, 0
18.011616230010986, -5, 123.0, 0
18.219638347625732, 3, 206.0, 0
18.45959711074829, 3, 237.0, 0
18.779735803604126, 1, 311.0, 0
19.011756658554077, -7, 224.0, 0
19.523809671401978, 3, 503.0, 0
19.987755060195923, -1, 451.0, 0
20.48372507095337, 1, 483.0, 0
21.443771839141846, -3, 940.0, 0
21.891749620437622, -1, 433.0, 0
22.155751705169678, -1, 265.0, 0
22.30783176422119, -27, 141.0, 0
22.411871433258057, 20, 102.0, 0
22.51577377319336, 23, 101.0, 0
22.619619131088257, -3, 102.0, 0
22.723660945892334, -21, 101.0, 0
22.827608346939087, 7, 102.0, 0
22.939582586288452, -3, 109.0, 0
23.043606281280518, -7, 102.0, 0
23.163585901260376, 11, 117.0, 0
23.267743587493896, -4, 102.0, 0
23.459760904312134, -5, 193.0, 0
23.57173991203308, 9, 104.0, 0
23.80381202697754, -5, 229.0, 0
24.147823095321655, 1, 333.0, 0
24.547787189483643, 3, 398.0, 0
25.86786413192749, -1, 1283.0, 0
28.94773006439209, 4, 3006.0, 0
29.051812887191772, 86, 102.0, 0
29.155972480773926, 222, 101.0, 0
29.259726762771606, 468, 102.0, 0
29.36370611190796, 309, 102.0, 0
29.46770453453064, 379, 101.0, 0
29.571712732315063, 675, 102.0, 0
29.6755952835083, 1417, 101.0, 0
29.779601335525513, 2172, 102.0, 0
29.883573532104492, 2964, 102.0, 0
29.987711668014526, 3522, 101.0, 0
30.091727256774902, 3894, 102.0, 0
30.196197032928467, 4249, 101.0, 0
30.299604177474976, 4327, 102.0, 0
30.403690338134766, 4571, 101.0, 0
30.507607460021973, 4713, 102.0, 0
30.611592054367065, 5001, 101.0, 0
30.715796947479248, 5508, 102.0, 0
30.819639921188354, 5871, 102.0, 0
30.92360806465149, 6237, 101.0, 0
31.02777338027954, 6695, 102.0, 0
31.131906509399414, 7220, 101.0, 0
31.235816955566406, 7598, 102.0, 0
31.339743614196777, 8033, 102.0, 0
31.443737506866455, 8245, 101.0, 0
31.547725439071655, 8565, 102.0, 0
31.651715517044067, 8831, 101.0, 0
31.75581121444702, 9099, 102.0, 0
31.859784841537476, 9275, 101.0, 0
31.96360492706299, 9724, 102.0, 0
32.06774616241455, 9783, 101.0, 0
32.1716365814209, 9892, 102.0, 0
32.27566480636597, 10171, 101.0, 0
32.3796112537384, 10525, 102.0, 0
32.483601808547974, 10715, 101.0, 0
32.587745904922485, 10829, 102.0, 0
32.69185829162598, 10878, 101.0, 0
32.79606485366821, 10965, 102.0, 0
32.89971327781677, 10831, 102.0, 0
33.00373578071594, 10834, 101.0, 0
33.107616662979126, 10815, 102.0, 0
33.21160578727722, 10733, 101.0, 0
33.31559348106384, 10646, 102.0, 0
33.4195921421051, 10533, 102.0, 0
33.52361059188843, 9680, 101.0, 0
33.6279673576355, 9988, 102.0, 0
33.731833696365356, 9423, 101.0, 0
33.8358633518219, 5719, 102.0, 0
33.939711809158325, 10275, 101.0, 0
34.04365038871765, 10508, 102.0, 0
34.14760398864746, 9376, 101.0, 0
34.25161051750183, 9726, 102.0, 0
34.355883836746216, 8675, 101.0, 0
34.45963382720947, 8723, 102.0, 0
34.563823223114014, 6991, 101.0, 0
34.667651653289795, 6223, 101.0, 0
34.77171516418457, 5297, 102.0, 0
34.87570118904114, 3788, 102.0, 0
34.979684591293335, 2905, 101.0, 0
35.08364939689636, 1406, 102.0, 0
35.18762707710266, 1204, 101.0, 0
35.29168343544006, 312, 102.0, 0
35.3961968421936, 156, 101.0, 0
35.49980115890503, -68, 102.0, 0
35.603684425354004, -321, 102.0, 0
35.70766830444336, 34, 101.0, 0
35.81167149543762, -204, 104.0, 0
35.91569662094116, -5, 99.0, 0
36.01970958709717, -27, 102.0, 0
36.12377095222473, -83, 101.0, 0
36.227874517440796, 23, 102.0, 0
36.339897871017456, -14, 110.0, 0
36.443886041641235, 8, 101.0, 0
36.547704219818115, 10, 104.0, 0
36.65966558456421, -25, 113.0, 0
36.76360464096069, 19, 97.0, 0
36.86759352684021, 2, 104.0, 0
