TimeRecording, PositionChange, TimeChange, IndexTriggered
0.7962281703948975, 1, 0.0, 0
1.7076218128204346, -1, 891.0, 0
1.971623420715332, -1, 254.0, 0
2.0836057662963867, 6, 111.0, 0
2.195742130279541, -2, 108.0, 0
2.29963755607605, -8, 102.0, 0
2.427730083465576, 5, 125.0, 0
2.58760929107666, 1, 158.0, 0
2.8435819149017334, -11, 249.0, 0
2.9476356506347656, 19, 101.0, 0
3.0518651008605957, 1, 101.0, 0
3.1716275215148926, -25, 122.0, 0
3.275507926940918, 19, 102.0, 0
3.3795831203460693, 3, 96.0, 0
3.491499662399292, -21, 110.0, 0
3.6595051288604736, 14, 170.0, 0
3.8676459789276123, -5, 199.0, 0
4.307673215866089, 3, 428.0, 0
4.731644868850708, 1, 419.0, 0
5.155746698379517, -1, 409.0, 0
5.499660968780518, -1, 342.0, 0
7.091799020767212, 1, 1553.0, 0
7.323652982711792, -5, 229.0, 0
7.4836506843566895, 3, 153.0, 0
7.691710710525513, 1, 204.0, 0
7.875666379928589, 1, 177.0, 0
8.403799533843994, -1, 519.0, 0
8.643511533737183, 1, 231.0, 0
8.979519128799438, 1, 333.0, 0
9.771628856658936, -3, 770.0, 0
11.579704999923706, 1, 1766.0, 0
13.763725519180298, -1, 2130.0, 0
17.899688005447388, -1, 4040.0, 0
19.12371802330017, 1, 1198.0, 0
20.371731758117676, -1, 1216.0, 0
23.4037082195282, 1, 2964.0, 0
24.627697229385376, -1, 1192.0, 0
25.899659395217896, 3, 1246.0, 0
26.083793878555298, -1, 177.0, 0
26.291518926620483, -1, 203.0, 0
26.76351022720337, -1, 462.0, 0
27.13164710998535, -1, 360.0, 0
27.283531427383423, -1, 143.0, 0
28.11568260192871, 1, 816.0, 0
28.571640968322754, -1, 448.0, 0
28.883625745773315, -6, 298.0, 0
28.98784852027893, 0, 101.0, 0
29.099637508392334, 11, 110.0, 0
29.2036395072937, -10, 101.0, 0
29.30763840675354, -8, 109.0, 0
29.531503915786743, 14, 219.0, 0
29.651492595672607, -5, 113.0, 0
29.795643091201782, 8, 141.0, 0
30.003748655319214, -5, 206.0, 0
30.355626106262207, 1, 340.0, 0
30.771679639816284, 1, 405.0, 0
31.579772472381592, -3, 791.0, 0
33.78779077529907, 1, 2156.0, 0
36.02771592140198, -16, 2183.0, 0
36.13171172142029, -21, 102.0, 0
36.23575806617737, 382, 101.0, 0
36.33990168571472, 627, 102.0, 0
36.44379949569702, 1151, 102.0, 0
36.54778742790222, 1481, 101.0, 0
36.651774644851685, 1844, 101.0, 0
36.755956411361694, 2364, 102.0, 0
36.85975766181946, 2796, 102.0, 0
36.963796615600586, 3250, 101.0, 0
37.067997455596924, 3503, 102.0, 0
37.17181420326233, 3710, 101.0, 0
37.27577829360962, 3934, 102.0, 0
37.37979006767273, 4241, 101.0, 0
37.48388934135437, 4582, 102.0, 0
37.587822914123535, 4927, 102.0, 0
37.69191217422485, 5311, 101.0, 0
37.79567503929138, 5647, 102.0, 0
37.899800300598145, 5947, 101.0, 0
38.00376319885254, 6240, 102.0, 0
38.10835075378418, 6399, 101.0, 0
38.21190619468689, 6655, 102.0, 0
38.31579852104187, 6730, 101.0, 0
38.41979098320007, 6859, 102.0, 0
38.52378845214844, 6957, 101.0, 0
38.627785205841064, 7044, 102.0, 0
38.73178505897522, 7036, 101.0, 0
38.83578658103943, 7100, 102.0, 0
38.93978714942932, 7258, 101.0, 0
39.04379343986511, 7172, 102.0, 0
39.147778272628784, 7226, 102.0, 0
39.251803159713745, 7284, 101.0, 0
39.35553526878357, 7206, 102.0, 0
39.459577322006226, 7333, 102.0, 0
39.56354117393494, 7251, 101.0, 0
39.667524576187134, 7421, 102.0, 0
39.771512031555176, 7358, 101.0, 0
39.87552332878113, 7469, 102.0, 0
39.979689598083496, 7510, 101.0, 0
40.0837619304657, 7445, 102.0, 0
40.18769359588623, 7434, 102.0, 0
40.291515588760376, 7456, 101.0, 0
40.39552021026611, 7411, 102.0, 0
40.49951648712158, 7413, 101.0, 0
40.60351276397705, 7348, 102.0, 0
40.70754837989807, 7470, 102.0, 0
40.8115348815918, 7436, 101.0, 0
40.915799617767334, 7442, 102.0, 0
41.019628286361694, 7374, 101.0, 0
41.12353467941284, 5563, 101.0, 0
41.227534532547, 6160, 102.0, 0
41.33151054382324, 6296, 102.0, 0
41.43551254272461, 6508, 101.0, 0
41.53952383995056, 3203, 102.0, 0
41.64350605010986, 4574, 101.0, 0
41.747636556625366, 7012, 102.0, 0
41.85177302360535, 7192, 101.0, 0
41.95550870895386, 7554, 102.0, 0
42.059489488601685, 7437, 101.0, 0
42.163509368896484, 7367, 102.0, 0
42.2675199508667, 7200, 102.0, 0
42.37150502204895, 7541, 101.0, 0
42.475528717041016, 7293, 101.0, 0
42.57951045036316, 6173, 102.0, 0
42.68365025520325, 5983, 102.0, 0
42.78763508796692, 4722, 101.0, 0
42.891621351242065, 3968, 102.0, 0
42.9957001209259, 2661, 101.0, 0
43.09978437423706, 1627, 102.0, 0
43.203829288482666, 980, 101.0, 0
43.30772638320923, 277, 102.0, 0
43.411654472351074, 236, 102.0, 0
43.51565766334534, -223, 101.0, 0
43.61980080604553, -166, 102.0, 0
43.723671436309814, -78, 101.0, 0
43.82752466201782, -157, 102.0, 0
43.931506395339966, 9, 101.0, 0
44.03552222251892, -67, 102.0, 0
44.139564990997314, -42, 102.0, 0
44.2435245513916, -55, 101.0, 0
44.34752154350281, 38, 102.0, 0
44.45176410675049, -8, 101.0, 0
44.555779218673706, 5, 102.0, 0
44.65976405143738, -10, 101.0, 0
44.78773760795593, -3, 125.0, 0
44.89171838760376, 26, 107.0, 0
45.067704916000366, -19, 173.0, 0
45.21958637237549, 4, 142.0, 0
45.33950662612915, -8, 117.0, 0
45.4755494594574, 6, 133.0, 0
45.57951092720032, 40, 101.0, 0
45.68350887298584, -48, 102.0, 0
45.78750491142273, -92, 101.0, 0
45.89150071144104, 26, 103.0, 0
45.99572467803955, 41, 100.0, 0
46.099607706069946, -13, 102.0, 0
46.20359444618225, -67, 101.0, 0
46.307594299316406, -287, 102.0, 0
46.41155457496643, 208, 101.0, 0
46.51554822921753, -103, 102.0, 0
46.619534730911255, 179, 102.0, 0
46.72352361679077, -244, 101.0, 0
46.82775282859802, 203, 101.0, 0
46.93187499046326, -29, 102.0, 0
47.03577971458435, 33, 105.0, 0
47.139845848083496, -63, 98.0, 0
47.2437698841095, 63, 101.0, 0
47.34760785102844, -9, 102.0, 0
47.45162105560303, -11, 101.0, 0
47.55560898780823, 13, 102.0, 0
47.67567849159241, 0, 123.0, 0
47.7795090675354, -4, 95.0, 0
47.88364577293396, -6, 102.0, 0
47.98778581619263, 16, 101.0, 0
48.11558985710144, -2, 130.0, 0
48.28351020812988, 8, 159.0, 0
48.395586252212524, 24, 110.0, 0
48.499627351760864, -14, 101.0, 0
