File:,"C:\data\20201112 cirris\Logger_xsensor_pneu_1cm_v2_01.XSN"
Frame,Date,Time,Units,Threshold,Sensor,Rows,Columns,Average Pressure,Peak Pressure,Contact Area (cm²),Est. Load (N),Std Dev.,COP Row,COP Column,Frame Notes
1,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"63,47","246,78","1743,55","1475,44","32,91","13,53","18,84",""
2,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,78","245,58","1743,55","1459,29","33,14","13,44","18,87",""
3,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,72","245,28","1743,55","1457,98","33,14","13,44","18,87",""
4,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,82","246,44","1743,55","1460,16","33,13","13,45","18,87",""
5,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,78","245,77","1743,55","1459,41","33,07","13,46","18,87",""
6,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,97","246,59","1743,55","1463,66","33,06","13,47","18,87",""
7,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,97","245,83","1743,55","1463,85","33,04","13,47","18,86",""
8,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,95","246,53","1743,55","1463,3","33,04","13,47","18,86",""
9,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,94","247,18","1743,55","1463,08","33,15","13,46","18,86",""
10,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,93","246,77","1743,55","1462,77","33,16","13,45","18,86",""
11,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,87","247,04","1743,55","1461,5","33,15","13,45","18,87",""
12,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,9","246,0","1743,55","1462,24","33,15","13,45","18,87",""
13,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,88","246,71","1743,55","1461,64","33,1","13,46","18,87",""
14,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,89","246,24","1743,55","1462,01","33,08","13,46","18,87",""
15,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,88","246,48","1743,55","1461,73","33,05","13,46","18,87",""
16,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,88","246,87","1743,55","1461,68","33,07","13,46","18,87",""
17,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,93","247,07","1743,55","1462,81","33,13","13,45","18,87",""
18,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,88","246,32","1743,55","1461,75","33,11","13,45","18,87",""
19,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,87","246,91","1743,55","1461,44","33,11","13,45","18,88",""
20,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,9","246,61","1743,55","1462,11","33,11","13,46","18,87",""
21,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,9","246,0","1743,55","1462,13","33,08","13,46","18,87",""
22,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,89","246,72","1743,55","1461,92","33,07","13,46","18,87",""
23,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,91","246,61","1743,55","1462,43","33,1","13,46","18,87",""
24,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,93","246,85","1743,55","1462,8","33,15","13,45","18,87",""
25,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,95","246,45","1743,55","1463,41","33,16","13,45","18,87",""
26,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,91","247,04","1743,55","1462,47","33,15","13,46","18,86",""
27,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,98","246,38","1743,55","1463,95","33,16","13,46","18,87",""
28,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,92","247,2","1743,55","1462,61","33,12","13,46","18,86",""
29,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,91","246,27","1743,55","1462,34","33,1","13,46","18,86",""
30,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,88","247,14","1743,55","1461,72","33,11","13,46","18,87",""
31,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,87","246,36","1743,55","1461,51","33,1","13,45","18,87",""
32,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,8","246,3","1743,55","1459,9","33,07","13,45","18,87",""
33,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,79","245,84","1743,55","1459,46","33,06","13,45","18,87",""
34,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,83","246,55","1743,55","1460,52","33,08","13,45","18,87",""
35,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,86","247,02","1743,55","1461,12","33,1","13,45","18,87",""
36,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,87","246,42","1743,55","1461,36","33,08","13,46","18,87",""
37,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,84","246,39","1743,55","1460,84","33,06","13,46","18,87",""
38,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,91","246,89","1743,55","1462,4","33,09","13,46","18,87",""
39,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,82","246,62","1743,55","1460,23","33,06","13,46","18,87",""
40,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,86","246,73","1743,55","1461,18","33,08","13,45","18,87",""
41,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,8","246,0","1743,55","1459,83","33,05","13,45","18,87",""
42,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,8","246,64","1743,55","1459,72","33,06","13,45","18,87",""
43,"2020 Nov 12","15:34:12",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,84","246,35","1743,55","1460,65","33,06","13,45","18,87",""
44,"2020 Nov 12","15:34:13",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,86","246,69","1743,55","1461,13","33,1","13,45","18,88",""
45,"2020 Nov 12","15:34:13",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,93","246,88","1743,55","1462,73","33,12","13,46","18,87",""
46,"2020 Nov 12","15:34:13",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,91","247,51","1743,55","1462,34","33,12","13,46","18,87",""
47,"2020 Nov 12","15:34:13",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,95","246,72","1743,55","1463,19","33,12","13,46","18,87",""
48,"2020 Nov 12","15:34:13",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,96","247,58","1743,55","1463,48","33,14","13,46","18,87",""
49,"2020 Nov 12","15:34:13",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,97","246,62","1743,55","1463,68","33,13","13,46","18,87",""
50,"2020 Nov 12","15:34:13",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"62,95","247,47","1743,55","1463,21","33,14","13,45","18,87",""
