File:,"C:\data\20201119 cirris\Logger_xsensor_gel_2cm_v2_00.XSN"
Frame,Date,Time,Units,Threshold,Sensor,Rows,Columns,Average Pressure,Peak Pressure,Contact Area (cm²),Est. Load (N),Std Dev.,COP Row,COP Column,Frame Notes
1,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,58","255,93","1958,06","1555,45","41,88","12,52","18,24",""
2,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,6","255,61","1958,06","1555,82","41,88","12,52","18,25",""
3,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,63","254,33","1958,06","1556,54","41,88","12,52","18,25",""
4,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,63","256,0","1958,06","1556,7","41,92","12,52","18,24",""
5,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,51","256,0","1958,06","1553,63","41,84","12,51","18,25",""
6,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,49","254,09","1958,06","1553,08","41,8","12,51","18,25",""
7,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,48","254,63","1958,06","1552,76","41,82","12,51","18,25",""
8,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,48","254,53","1958,06","1552,85","41,8","12,51","18,25",""
9,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,46","255,76","1958,06","1552,13","41,82","12,51","18,25",""
10,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,47","254,16","1958,06","1552,48","41,79","12,51","18,25",""
11,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,51","255,69","1958,06","1553,5","41,85","12,51","18,25",""
12,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,52","255,56","1958,06","1553,85","41,84","12,51","18,25",""
13,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,49","256,0","1958,06","1552,93","41,84","12,51","18,25",""
14,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,49","256,0","1958,06","1552,93","41,84","12,51","18,25",""
15,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,47","255,84","1958,06","1552,44","41,82","12,51","18,25",""
16,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,53","256,0","1958,06","1553,95","41,85","12,51","18,25",""
17,"2020 Nov 19","15:38:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,57","256,0","1958,06","1555,05","41,89","12,51","18,25",""
